Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
1998,Nagano,Luge,Luge,Brian Martin,USA,Men,Doubles,Bronze,United States
1998,Nagano,Luge,Luge,Gordon Sheer,USA,Men,Doubles,Silver,United States
1998,Nagano,Luge,Luge,Chris Thorpe,USA,Men,Doubles,Silver,United States
1998,Nagano,Skating,Figure skating,Tara Lipinski,USA,Women,Individual,Gold,United States
1998,Nagano,Skating,Figure skating,Michelle Kwan,USA,Women,Individual,Silver,United States
1998,Nagano,Skating,Speed skating,Christine Witty,USA,Women,1000M,Silver,United States
1998,Nagano,Skating,Speed skating,Christine Witty,USA,Women,1500M,Bronze,United States
1998,Nagano,Skiing,Alpine Skiing,Picabo Street,USA,Women,Super-G,Gold,United States
1998,Nagano,Skiing,Freestyle Skiing,Eric Bergoust,USA,Men,Aerials,Gold,United States
1998,Nagano,Skiing,Freestyle Skiing,Nikki Stone,USA,Women,Aerials,Gold,United States
1998,Nagano,Skiing,Freestyle Skiing,Jonny Moseley,USA,Men,Moguls,Gold,United States
1998,Nagano,Skiing,Snowboard,Ross Powers,USA,Men,Half-Pipe,Bronze,United States
1998,Nagano,Skiing,Snowboard,Shannon Dunn-Downing,USA,Women,Half-Pipe,Bronze,United States
2002,Salt Lake City,Bobsleigh,Bobsleigh,Mike Kohn,USA,Men,Four-Man,Bronze,United States
2002,Salt Lake City,Bobsleigh,Bobsleigh,Doug Sharp,USA,Men,Four-Man,Bronze,United States
2002,Salt Lake City,Bobsleigh,Bobsleigh,Brian Shimer,USA,Men,Four-Man,Bronze,United States
2002,Salt Lake City,Bobsleigh,Bobsleigh,Dan Steele,USA,Men,Four-Man,Bronze,United States
2002,Salt Lake City,Bobsleigh,Bobsleigh,Todd Hays,USA,Men,Four-Man,Silver,United States
2002,Salt Lake City,Bobsleigh,Bobsleigh,Garrett Hines,USA,Men,Four-Man,Silver,United States
2002,Salt Lake City,Bobsleigh,Bobsleigh,Randy Jones,USA,Men,Four-Man,Silver,United States
2002,Salt Lake City,Bobsleigh,Bobsleigh,Bill Schuffenhauer,USA,Men,Four-Man,Silver,United States
2002,Salt Lake City,Bobsleigh,Bobsleigh,Jill Bakken,USA,Women,Two-Man,Gold,United States
2002,Salt Lake City,Bobsleigh,Bobsleigh,Vonetta Flowers,USA,Women,Two-Man,Gold,United States
2002,Salt Lake City,Bobsleigh,Skeleton,Jim Shea,USA,Men,Individual,Gold,United States
2002,Salt Lake City,Bobsleigh,Skeleton,Tristan Gale,USA,Women,Individual,Gold,United States
2002,Salt Lake City,Bobsleigh,Skeleton,Lea Ann Parsley,USA,Women,Individual,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Tony Amonte,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Tom Barrasso,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Chris Chelios,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Adam Deadmarsh,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Chris Drury,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Mike Dunham,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Bill Guerin,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Phil Housley,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Brett Hull,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,John Leclair,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Brian Leetch,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Aaron Miller,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Mike Modano,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Tom Poti,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Brian Rafalski,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Mike Richter,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Jeremy Roenick,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Brian Rolston,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Gary Suter,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Keith Tkachuk,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Doug Weight,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Mike York,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Scott Young,USA,Men,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Chris Bailey,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Laurie Baker,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Karyn Bye,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Julie Chu,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Natalie Darwitz,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Sara Decosta,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Tricia Dunn-Luoma,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Cammi Granato,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Courtney Kennedy,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Andrea Kilbourne,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Katie King,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Shelley Looney,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Sue Merz,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Allison Mleczko,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Tara Mounsey,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Jenny Potter,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Angela Ruggiero,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Sarah Tueting,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Lyndsay Wall,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Ice Hockey,Ice Hockey,Krissy Wendell,USA,Women,Ice Hockey,Silver,United States
2002,Salt Lake City,Luge,Luge,Clay Ives,USA,Men,Doubles,Bronze,United States
2002,Salt Lake City,Luge,Luge,Chris Thorpe,USA,Men,Doubles,Bronze,United States
2002,Salt Lake City,Luge,Luge,Mark Grimmette,USA,Men,Doubles,Silver,United States
2002,Salt Lake City,Luge,Luge,Brian Martin,USA,Men,Doubles,Silver,United States
2002,Salt Lake City,Skating,Figure skating,Timothy Goebel,USA,Men,Individual,Bronze,United States
2002,Salt Lake City,Skating,Figure skating,Michelle Kwan,USA,Women,Individual,Bronze,United States
2002,Salt Lake City,Skating,Figure skating,Sarah Hughes,USA,Women,Individual,Gold,United States
2002,Salt Lake City,Skating,Short Track Speed Skating,Apolo Anton Ohno,USA,Men,1000M,Silver,United States
2002,Salt Lake City,Skating,Short Track Speed Skating,Apolo Anton Ohno,USA,Men,1500M,Gold,United States
2002,Salt Lake City,Skating,Short Track Speed Skating,Rusty Smith,USA,Men,500M,Bronze,United States
2002,Salt Lake City,Skating,Speed skating,Joey Cheek,USA,Men,1000M,Bronze,United States
2002,Salt Lake City,Skating,Speed skating,Jennifer Rodriguez,USA,Women,1000M,Bronze,United States
2002,Salt Lake City,Skating,Speed skating,Chris Witty,USA,Women,1000M,Gold,United States
2002,Salt Lake City,Skating,Speed skating,Derek Parra,USA,Men,1500M,Gold,United States
2002,Salt Lake City,Skating,Speed skating,Jennifer Rodriguez,USA,Women,1500M,Bronze,United States
2002,Salt Lake City,Skating,Speed skating,Derek Parra,USA,Men,5000M,Silver,United States
2002,Salt Lake City,Skating,Speed skating,Kip Carpenter,USA,Men,500M,Bronze,United States
2002,Salt Lake City,Skating,Speed skating,Casey Fitzrandolph,USA,Men,500M,Gold,United States
2002,Salt Lake City,Skiing,Alpine Skiing,Bode Miller,USA,Men,Alpine Combined,Silver,United States
2002,Salt Lake City,Skiing,Alpine Skiing,Bode Miller,USA,Men,Giant Slalom,Silver,United States
2002,Salt Lake City,Skiing,Freestyle Skiing,Joe Pack,USA,Men,Aerials,Silver,United States
2002,Salt Lake City,Skiing,Freestyle Skiing,Travis Mayer,USA,Men,Moguls,Silver,United States
2002,Salt Lake City,Skiing,Freestyle Skiing,Shannon Bahrke,USA,Women,Moguls,Silver,United States
2002,Salt Lake City,Skiing,Snowboard,Chris Klug,USA,Men,Giant Parallel Slalom,Bronze,United States
2002,Salt Lake City,Skiing,Snowboard,Jarret Thomas,USA,Men,Half-Pipe,Bronze,United States
2002,Salt Lake City,Skiing,Snowboard,Ross Powers,USA,Men,Half-Pipe,Gold,United States
2002,Salt Lake City,Skiing,Snowboard,Danny Kass,USA,Men,Half-Pipe,Silver,United States
2002,Salt Lake City,Skiing,Snowboard,Kelly Clark,USA,Women,Half-Pipe,Gold,United States
2006,Turin,Bobsleigh,Bobsleigh,Valerie Fleming,USA,Women,Two-Man,Silver,United States
2006,Turin,Bobsleigh,Bobsleigh,Shauna Rohbock,USA,Women,Two-Man,Silver,United States
2006,Turin,Curling,Curling,Scott Baird,USA,Men,Curling,Bronze,United States
2006,Turin,Curling,Curling,Pete Fenson,USA,Men,Curling,Bronze,United States
2006,Turin,Curling,Curling,Joe Polo,USA,Men,Curling,Bronze,United States
2006,Turin,Curling,Curling,Shawn Rojeski,USA,Men,Curling,Bronze,United States
2006,Turin,Curling,Curling,John Shuster,USA,Men,Curling,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Caitlin Cahow,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Julie Chu,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Natalie Darwitz,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Pam Dreyer,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Tricia Dunn-Luoma,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Molly Engstrom,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Chanda Gunn,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Jamie Hagerman,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Kim Insalaco,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Kathleen Kauth,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Courtney Kennedy,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Katie King,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Kristin King,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Sarah Parsons,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Jenny Potter,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Helen Resor,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Angela Ruggiero,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Kelly Stephens,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Lyndsay Wall,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Ice Hockey,Ice Hockey,Krissy Wendell,USA,Women,Ice Hockey,Bronze,United States
2006,Turin,Skating,Figure skating,Benjamin Agosto,USA,Men,Ice Dancing,Silver,United States
2006,Turin,Skating,Figure skating,Tanith Belbin,USA,Women,Ice Dancing,Silver,United States
2006,Turin,Skating,Figure skating,Sasha Cohen,USA,Women,Individual,Silver,United States
2006,Turin,Skating,Short Track Speed Skating,Apolo Anton Ohno,USA,Men,1000M,Bronze,United States
2006,Turin,Skating,Short Track Speed Skating,Alex Izykowski,USA,Men,5000M Relay,Bronze,United States
2006,Turin,Skating,Short Track Speed Skating,J.P. Kepka,USA,Men,5000M Relay,Bronze,United States
2006,Turin,Skating,Short Track Speed Skating,Apolo Anton Ohno,USA,Men,5000M Relay,Bronze,United States
2006,Turin,Skating,Short Track Speed Skating,Rusty Smith,USA,Men,5000M Relay,Bronze,United States
2006,Turin,Skating,Short Track Speed Skating,Apolo Anton Ohno,USA,Men,500M,Gold,United States
2006,Turin,Skating,Speed skating,Chad Hedrick,USA,Men,10000M,Silver,United States
2006,Turin,Skating,Speed skating,Shani Davis,USA,Men,1000M,Gold,United States
2006,Turin,Skating,Speed skating,Joey Cheek,USA,Men,1000M,Silver,United States
2006,Turin,Skating,Speed skating,Chad Hedrick,USA,Men,1500M,Bronze,United States
2006,Turin,Skating,Speed skating,Shani Davis,USA,Men,1500M,Silver,United States
2006,Turin,Skating,Speed skating,Chad Hedrick,USA,Men,5000M,Gold,United States
2006,Turin,Skating,Speed skating,Joey Cheek,USA,Men,500M,Gold,United States
2006,Turin,Skiing,Alpine Skiing,Ted Ligety,USA,Men,Alpine Combined,Gold,United States
2006,Turin,Skiing,Alpine Skiing,Julia Mancuso,USA,Women,Giant Slalom,Gold,United States
2006,Turin,Skiing,Freestyle Skiing,Toby Dawson,USA,Men,Moguls,Bronze,United States
2006,Turin,Skiing,Snowboard,Rosey Fletcher,USA,Women,Giant Parallel Slalom,Bronze,United States
2006,Turin,Skiing,Snowboard,Shaun White,USA,Men,Half-Pipe,Gold,United States
2006,Turin,Skiing,Snowboard,Danny Kass,USA,Men,Half-Pipe,Silver,United States
2006,Turin,Skiing,Snowboard,Hannah Teter,USA,Women,Half-Pipe,Gold,United States
2006,Turin,Skiing,Snowboard,Gretchen Bleiler,USA,Women,Half-Pipe,Silver,United States
2006,Turin,Skiing,Snowboard,Seth Wescott,USA,Men,Snowboard Cross,Gold,United States
2006,Turin,Skiing,Snowboard,Lindsey Jacobellis,USA,Women,Snowboard Cross,Silver,United States
2010,Vancouver,Bobsleigh,Bobsleigh,Steven Holcomb,USA,Men,Four-Man,Gold,United States
2010,Vancouver,Bobsleigh,Bobsleigh,Steve Mesler,USA,Men,Four-Man,Gold,United States
2010,Vancouver,Bobsleigh,Bobsleigh,Justin Olsen,USA,Men,Four-Man,Gold,United States
2010,Vancouver,Bobsleigh,Bobsleigh,Curtis Tomasevicz,USA,Men,Four-Man,Gold,United States
2010,Vancouver,Bobsleigh,Bobsleigh,Elana Meyers,USA,Women,Two-Man,Bronze,United States
2010,Vancouver,Bobsleigh,Bobsleigh,Erin Pac,USA,Women,Two-Man,Bronze,United States
2010,Vancouver,Ice Hockey,Ice Hockey,David Backes,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Dustin Brown,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Ryan Callahan,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Chris Drury,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Tim Gleason,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Erik Johnson,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Jack Johnson,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Patrick Kane,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Ryan Kesler,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Phil Kessel,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Jamie Langenbrunner,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Ryan Malone,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Ryan Miller,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Brooks Orpik,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Zach Parise,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Joe Pavelski,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Jonathan Quick,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Brian Rafalski,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Bobby Ryan,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Paul Stastny,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Ryan Suter,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Tim Thomas,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Ryan Whitney,USA,Men,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Kacey Bellamy,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Caitlin Cahow,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Lisa Chesson,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Julie Chu,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Natalie Darwitz,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Meghan Duggan,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Molly Engstrom,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Hilary Knight,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Jocelyne Lamoureux,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Monique Lamoureux,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Erika Lawler,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Gigi Marvin,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Brianne Mclaughlin,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Jenny Potter,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Angela Ruggiero,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Molly Schaus,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Kelli Stack,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Karen Thatcher,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Jessie Vetter,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Kerry Weiland,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Ice Hockey,Ice Hockey,Jinelle Zaugg-Siergiej,USA,Women,Ice Hockey,Silver,United States
2010,Vancouver,Skating,Figure skating,Meryl Davis,USA,Women,Ice Dancing,Silver,United States
2010,Vancouver,Skating,Figure skating,Charlie White,USA,Men,Ice Dancing,Silver,United States
2010,Vancouver,Skating,Figure skating,Evan Lysacek,USA,Men,Individual,Gold,United States
2010,Vancouver,Skating,Short Track Speed Skating,Apolo Anton Ohno,USA,Men,1000M,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,Katherine Reutter,USA,Women,1000M,Silver,United States
2010,Vancouver,Skating,Short Track Speed Skating,J.R. Celski,USA,Men,1500M,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,Apolo Anton Ohno,USA,Men,1500M,Silver,United States
2010,Vancouver,Skating,Short Track Speed Skating,Allison Baver,USA,Women,3000M Relay,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,Kimberly Derrick,USA,Women,3000M Relay,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,Alyson Dudek,USA,Women,3000M Relay,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,Lana Gehring,USA,Women,3000M Relay,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,Katherine Reutter,USA,Women,3000M Relay,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,J.R. Celski,USA,Men,5000M Relay,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,Simon Cho,USA,Men,5000M Relay,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,Travis Jayner,USA,Men,5000M Relay,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,Jordan Malone,USA,Men,5000M Relay,Bronze,United States
2010,Vancouver,Skating,Short Track Speed Skating,Apolo Anton Ohno,USA,Men,5000M Relay,Bronze,United States
2010,Vancouver,Skating,Speed skating,Chad Hedrick,USA,Men,1000M,Bronze,United States
2010,Vancouver,Skating,Speed skating,Shani Davis,USA,Men,1000M,Gold,United States
2010,Vancouver,Skating,Speed skating,Shani Davis,USA,Men,1500M,Silver,United States
2010,Vancouver,Skating,Speed skating,Brian Hansen,USA,Men,Team Pursuit,Silver,United States
2010,Vancouver,Skating,Speed skating,Chad Hedrick,USA,Men,Team Pursuit,Silver,United States
2010,Vancouver,Skating,Speed skating,Jonathan Kuck,USA,Men,Team Pursuit,Silver,United States
2010,Vancouver,Skating,Speed skating,Trevor Marsicano,USA,Men,Team Pursuit,Silver,United States
2010,Vancouver,Skiing,Alpine Skiing,Bode Miller,USA,Men,Downhill,Bronze,United States
2010,Vancouver,Skiing,Alpine Skiing,Lindsey Vonn,USA,Women,Downhill,Gold,United States
2010,Vancouver,Skiing,Alpine Skiing,Julia Mancuso,USA,Women,Downhill,Silver,United States
2010,Vancouver,Skiing,Alpine Skiing,Bode Miller,USA,Men,Super Combined,Gold,United States
2010,Vancouver,Skiing,Alpine Skiing,Julia Mancuso,USA,Women,Super Combined,Silver,United States
2010,Vancouver,Skiing,Alpine Skiing,Andrew Weibrecht,USA,Men,Super-G,Bronze,United States
2010,Vancouver,Skiing,Alpine Skiing,Bode Miller,USA,Men,Super-G,Silver,United States
2010,Vancouver,Skiing,Alpine Skiing,Lindsey Vonn,USA,Women,Super-G,Bronze,United States
2010,Vancouver,Skiing,Freestyle Skiing,Jeret Peterson,USA,Men,Aerials,Silver,United States
2010,Vancouver,Skiing,Freestyle Skiing,Bryon Wilson,USA,Men,Moguls,Bronze,United States
2010,Vancouver,Skiing,Freestyle Skiing,Shannon Bahrke,USA,Women,Moguls,Bronze,United States
2010,Vancouver,Skiing,Freestyle Skiing,Hannah Kearney,USA,Women,Moguls,Gold,United States
2010,Vancouver,Skiing,Nordic Combined,Johnny Spillane,USA,Men,"Individual, Ski Jumping K90 (70M)",Silver,United States
2010,Vancouver,Skiing,Nordic Combined,Bill Demong,USA,Men,Sprint K120,Gold,United States
2010,Vancouver,Skiing,Nordic Combined,Johnny Spillane,USA,Men,Sprint K120,Silver,United States
2010,Vancouver,Skiing,Nordic Combined,Brett Camerota,USA,Men,"Team, 4X5 KM",Silver,United States
2010,Vancouver,Skiing,Nordic Combined,Bill Demong,USA,Men,"Team, 4X5 KM",Silver,United States
2010,Vancouver,Skiing,Nordic Combined,Todd Lodwick,USA,Men,"Team, 4X5 KM",Silver,United States
2010,Vancouver,Skiing,Nordic Combined,Johnny Spillane,USA,Men,"Team, 4X5 KM",Silver,United States
2010,Vancouver,Skiing,Snowboard,Scott Lago,USA,Men,Half-Pipe,Bronze,United States
2010,Vancouver,Skiing,Snowboard,Shaun White,USA,Men,Half-Pipe,Gold,United States
2010,Vancouver,Skiing,Snowboard,Kelly Clark,USA,Women,Half-Pipe,Bronze,United States
2010,Vancouver,Skiing,Snowboard,Hannah Teter,USA,Women,Half-Pipe,Silver,United States
2010,Vancouver,Skiing,Snowboard,Seth Wescott,USA,Men,Snowboard Cross,Gold,United States
2014,Sochi,Bobsleigh,Bobsleigh,Christopher Fogt,USA,Men,Four-Man,Bronze,United States
2014,Sochi,Bobsleigh,Bobsleigh,Steven Holcomb,USA,Men,Four-Man,Bronze,United States
2014,Sochi,Bobsleigh,Bobsleigh,Steven Langton,USA,Men,Four-Man,Bronze,United States
2014,Sochi,Bobsleigh,Bobsleigh,Curtis Tomasevicz,USA,Men,Four-Man,Bronze,United States
2014,Sochi,Bobsleigh,Bobsleigh,Steven Holcomb,USA,Men,Two-Man,Bronze,United States
2014,Sochi,Bobsleigh,Bobsleigh,Steven Langton,USA,Men,Two-Man,Bronze,United States
2014,Sochi,Bobsleigh,Bobsleigh,Aja Evans,USA,Women,Two-Woman,Bronze,United States
2014,Sochi,Bobsleigh,Bobsleigh,Jamie Greubel,USA,Women,Two-Woman,Bronze,United States
2014,Sochi,Bobsleigh,Bobsleigh,Elana Meyers,USA,Women,Two-Woman,Silver,United States
2014,Sochi,Bobsleigh,Bobsleigh,Lauryn Williams,USA,Women,Two-Woman,Silver,United States
2014,Sochi,Bobsleigh,Skeleton,Matthew Antoine,USA,Men,Individual,Bronze,United States
2014,Sochi,Bobsleigh,Skeleton,Noelle Pikus-Pace,USA,Women,Individual,Silver,United States
2014,Sochi,Ice Hockey,Ice Hockey,Kacey Bellamy,USA,Women,Ice Hockey,Silver,United States
2014,Sochi,Ice Hockey,Ice Hockey,Megan Bozek,USA,Women,Ice Hockey,Silver,United States
2014,Sochi,Ice Hockey,Ice Hockey,Alex Carpenter,USA,Women,Ice Hockey,Silver,United States
2014,Sochi,Ice Hockey,Ice Hockey,Julie Chu,USA,Women,Ice Hockey,Silver,United States
2014,Sochi,Ice Hockey,Ice Hockey,Kendall Coyne,USA,Women,Ice Hockey,Silver,United States
2014,Sochi,Ice Hockey,Ice Hockey,Brianna Decker,USA,Women,Ice Hockey,Silver,United States
2014,Sochi,Ice Hockey,Ice Hockey,Meghan Duggan,USA,Women,Ice Hockey,Silver,United States
